"","value_date","variable_name","location","measurement_unit","value"
"303","2010-01-04 09:30:00","117","2450250","CMS","3.31307109900003"
"304","2010-01-04 09:45:00","115","2450250","CMS","3.25643740500003"
"305","2010-01-04 10:00:00","117","2450250","CMS","3.31307109900003"
"306","2010-01-04 10:15:00","117","2450250","CMS","3.31307109900003"
"307","2010-01-04 10:30:00","115","2450250","CMS","3.25643740500003"
"308","2010-01-04 10:45:00","117","2450250","CMS","3.31307109900003"
"309","2010-01-04 11:00:00","115","2450250","CMS","3.25643740500003"
"310","2010-01-04 11:15:00","115","2450250","CMS","3.25643740500003"
"311","2010-01-04 11:30:00","115","2450250","CMS","3.25643740500003"
"312","2010-01-04 11:45:00","115","2450250","CMS","3.25643740500003"
"313","2010-01-04 12:00:00","115","2450250","CMS","3.25643740500003"
"314","2010-01-04 12:15:00","115","2450250","CMS","3.25643740500003"
"315","2010-01-04 12:30:00","115","2450250","CMS","3.25643740500003"
"316","2010-01-04 12:45:00","115","2450250","CMS","3.25643740500003"
"317","2010-01-04 13:00:00","115","2450250","CMS","3.25643740500003"
"318","2010-01-04 13:15:00","115","2450250","CMS","3.25643740500003"
"319","2010-01-04 13:30:00","115","2450250","CMS","3.25643740500003"
"320","2010-01-04 13:45:00","115","2450250","CMS","3.25643740500003"
"321","2010-01-04 14:00:00","115","2450250","CMS","3.25643740500003"
"322","2010-01-04 14:15:00","115","2450250","CMS","3.25643740500003"
"323","2010-01-04 14:30:00","115","2450250","CMS","3.25643740500003"
"324","2010-01-04 14:45:00","115","2450250","CMS","3.25643740500003"
"325","2010-01-04 15:00:00","115","2450250","CMS","3.25643740500003"
"326","2010-01-04 15:15:00","115","2450250","CMS","3.25643740500003"
"327","2010-01-04 15:30:00","115","2450250","CMS","3.25643740500003"
"328","2010-01-04 15:45:00","114","2450250","CMS","3.22812055800003"
"329","2010-01-04 16:00:00","114","2450250","CMS","3.22812055800003"
"330","2010-01-04 16:15:00","114","2450250","CMS","3.22812055800003"
"331","2010-01-04 16:30:00","114","2450250","CMS","3.22812055800003"
"332","2010-01-04 16:45:00","114","2450250","CMS","3.22812055800003"
"333","2010-01-04 17:00:00","114","2450250","CMS","3.22812055800003"
"334","2010-01-04 17:15:00","114","2450250","CMS","3.22812055800003"
"335","2010-01-04 17:30:00","114","2450250","CMS","3.22812055800003"
"336","2010-01-04 17:45:00","114","2450250","CMS","3.22812055800003"
"337","2010-01-04 18:00:00","114","2450250","CMS","3.22812055800003"
"338","2010-01-04 18:15:00","114","2450250","CMS","3.22812055800003"
"339","2010-01-04 18:30:00","114","2450250","CMS","3.22812055800003"
"340","2010-01-04 18:45:00","114","2450250","CMS","3.22812055800003"
"341","2010-01-04 19:00:00","114","2450250","CMS","3.22812055800003"
"342","2010-01-04 19:15:00","114","2450250","CMS","3.22812055800003"
"343","2010-01-04 19:30:00","114","2450250","CMS","3.22812055800003"
"344","2010-01-04 19:45:00","112","2450250","CMS","3.17148686400003"
"345","2010-01-04 20:00:00","114","2450250","CMS","3.22812055800003"
"346","2010-01-04 20:15:00","114","2450250","CMS","3.22812055800003"
"347","2010-01-04 20:30:00","112","2450250","CMS","3.17148686400003"
"348","2010-01-04 20:45:00","112","2450250","CMS","3.17148686400003"
"349","2010-01-04 21:00:00","112","2450250","CMS","3.17148686400003"
"350","2010-01-04 21:15:00","112","2450250","CMS","3.17148686400003"
"351","2010-01-04 21:30:00","112","2450250","CMS","3.17148686400003"
"352","2010-01-04 21:45:00","112","2450250","CMS","3.17148686400003"
"353","2010-01-04 22:00:00","112","2450250","CMS","3.17148686400003"
"354","2010-01-04 22:15:00","112","2450250","CMS","3.17148686400003"
"355","2010-01-04 22:30:00","112","2450250","CMS","3.17148686400003"
"356","2010-01-04 22:45:00","112","2450250","CMS","3.17148686400003"
"357","2010-01-04 23:00:00","112","2450250","CMS","3.17148686400003"
"358","2010-01-04 23:15:00","112","2450250","CMS","3.17148686400003"
"359","2010-01-04 23:30:00","112","2450250","CMS","3.17148686400003"
"360","2010-01-04 23:45:00","112","2450250","CMS","3.17148686400003"
"361","2010-01-05 00:00:00","112","2450250","CMS","3.17148686400003"
"362","2010-01-05 00:15:00","111","2450250","CMS","3.14317001700003"
"363","2010-01-05 00:30:00","111","2450250","CMS","3.14317001700003"
"364","2010-01-05 00:45:00","111","2450250","CMS","3.14317001700003"
"365","2010-01-05 01:00:00","111","2450250","CMS","3.14317001700003"
"366","2010-01-05 01:15:00","111","2450250","CMS","3.14317001700003"
"367","2010-01-05 01:30:00","111","2450250","CMS","3.14317001700003"
"368","2010-01-05 01:45:00","111","2450250","CMS","3.14317001700003"
"369","2010-01-05 02:00:00","111","2450250","CMS","3.14317001700003"
"370","2010-01-05 02:15:00","111","2450250","CMS","3.14317001700003"
"371","2010-01-05 02:30:00","111","2450250","CMS","3.14317001700003"
"372","2010-01-05 02:45:00","111","2450250","CMS","3.14317001700003"
"373","2010-01-05 03:00:00","111","2450250","CMS","3.14317001700003"
"374","2010-01-05 03:15:00","111","2450250","CMS","3.14317001700003"
"375","2010-01-05 03:30:00","111","2450250","CMS","3.14317001700003"
"376","2010-01-05 03:45:00","109","2450250","CMS","3.08653632300003"
"377","2010-01-05 04:00:00","109","2450250","CMS","3.08653632300003"
"378","2010-01-05 04:15:00","109","2450250","CMS","3.08653632300003"
"379","2010-01-05 04:30:00","109","2450250","CMS","3.08653632300003"
"380","2010-01-05 04:45:00","109","2450250","CMS","3.08653632300003"
"381","2010-01-05 05:00:00","109","2450250","CMS","3.08653632300003"
"382","2010-01-05 05:15:00","109","2450250","CMS","3.08653632300003"
"383","2010-01-05 05:30:00","109","2450250","CMS","3.08653632300003"
"384","2010-01-05 05:45:00","109","2450250","CMS","3.08653632300003"
"385","2010-01-05 06:00:00","109","2450250","CMS","3.08653632300003"
"386","2010-01-05 06:15:00","109","2450250","CMS","3.08653632300003"
"387","2010-01-05 06:30:00","109","2450250","CMS","3.08653632300003"
"388","2010-01-05 06:45:00","109","2450250","CMS","3.08653632300003"
"389","2010-01-05 07:00:00","109","2450250","CMS","3.08653632300003"
"390","2010-01-05 07:15:00","109","2450250","CMS","3.08653632300003"
"391","2010-01-05 07:30:00","109","2450250","CMS","3.08653632300003"
"392","2010-01-05 07:45:00","109","2450250","CMS","3.08653632300003"
"393","2010-01-05 08:00:00","109","2450250","CMS","3.08653632300003"
"394","2010-01-05 08:15:00","109","2450250","CMS","3.08653632300003"
"395","2010-01-05 08:30:00","109","2450250","CMS","3.08653632300003"
"396","2010-01-05 08:45:00","109","2450250","CMS","3.08653632300003"
"397","2010-01-05 09:00:00","109","2450250","CMS","3.08653632300003"
