"","secs","timest","st_id","st_lon","st_lat","q_cms","q_cfs","dpth_m","POSIXct","wy","dateTime"
"100",360000,"2010-01-05 05:00:00","    18578829",-87.38462,34.28121,0.025,0.866,0,2010-01-05 05:00:00,2010,2010-01-05 05:00:00
"101",363600,"2010-01-05 06:00:00","    18578829",-87.38462,34.28121,0.024,0.846,0,2010-01-05 06:00:00,2010,2010-01-05 06:00:00
"102",367200,"2010-01-05 07:00:00","    18578829",-87.38462,34.28121,0.023,0.826,0,2010-01-05 07:00:00,2010,2010-01-05 07:00:00
"103",370800,"2010-01-05 08:00:00","    18578829",-87.38462,34.28121,0.023,0.807,0,2010-01-05 08:00:00,2010,2010-01-05 08:00:00
"104",374400,"2010-01-05 09:00:00","    18578829",-87.38462,34.28121,0.022,0.789,0,2010-01-05 09:00:00,2010,2010-01-05 09:00:00
"105",378000,"2010-01-05 10:00:00","    18578829",-87.38462,34.28121,0.022,0.771,0,2010-01-05 10:00:00,2010,2010-01-05 10:00:00
"106",381600,"2010-01-05 11:00:00","    18578829",-87.38462,34.28121,0.021,0.754,0,2010-01-05 11:00:00,2010,2010-01-05 11:00:00
"107",385200,"2010-01-05 12:00:00","    18578829",-87.38462,34.28121,0.021,0.737,0,2010-01-05 12:00:00,2010,2010-01-05 12:00:00
"108",388800,"2010-01-05 13:00:00","    18578829",-87.38462,34.28121,0.02,0.721,0,2010-01-05 13:00:00,2010,2010-01-05 13:00:00
"109",392400,"2010-01-05 14:00:00","    18578829",-87.38462,34.28121,0.02,0.706,0,2010-01-05 14:00:00,2010,2010-01-05 14:00:00
"110",396000,"2010-01-05 15:00:00","    18578829",-87.38462,34.28121,0.02,0.691,0,2010-01-05 15:00:00,2010,2010-01-05 15:00:00
"111",399600,"2010-01-05 16:00:00","    18578829",-87.38462,34.28121,0.019,0.676,0,2010-01-05 16:00:00,2010,2010-01-05 16:00:00
"112",403200,"2010-01-05 17:00:00","    18578829",-87.38462,34.28121,0.019,0.662,0,2010-01-05 17:00:00,2010,2010-01-05 17:00:00
"113",406800,"2010-01-05 18:00:00","    18578829",-87.38462,34.28121,0.018,0.649,0,2010-01-05 18:00:00,2010,2010-01-05 18:00:00
"114",410400,"2010-01-05 19:00:00","    18578829",-87.38462,34.28121,0.018,0.636,0,2010-01-05 19:00:00,2010,2010-01-05 19:00:00
"115",414000,"2010-01-05 20:00:00","    18578829",-87.38462,34.28121,0.018,0.623,0,2010-01-05 20:00:00,2010,2010-01-05 20:00:00
"116",417600,"2010-01-05 21:00:00","    18578829",-87.38462,34.28121,0.017,0.611,0,2010-01-05 21:00:00,2010,2010-01-05 21:00:00
"117",421200,"2010-01-05 22:00:00","    18578829",-87.38462,34.28121,0.017,0.599,0,2010-01-05 22:00:00,2010,2010-01-05 22:00:00
"118",424800,"2010-01-05 23:00:00","    18578829",-87.38462,34.28121,0.017,0.587,0,2010-01-05 23:00:00,2010,2010-01-05 23:00:00
"119",428400,"2010-01-06 00:00:00","    18578829",-87.38462,34.28121,0.016,0.576,0,2010-01-06 00:00:00,2010,2010-01-06 00:00:00
"120",432000,"2010-01-06 01:00:00","    18578829",-87.38462,34.28121,0.016,0.565,0,2010-01-06 01:00:00,2010,2010-01-06 01:00:00
"121",435600,"2010-01-06 02:00:00","    18578829",-87.38462,34.28121,0.016,0.555,0,2010-01-06 02:00:00,2010,2010-01-06 02:00:00
"122",439200,"2010-01-06 03:00:00","    18578829",-87.38462,34.28121,0.015,0.545,0,2010-01-06 03:00:00,2010,2010-01-06 03:00:00
"123",442800,"2010-01-06 04:00:00","    18578829",-87.38462,34.28121,0.015,0.535,0,2010-01-06 04:00:00,2010,2010-01-06 04:00:00
"124",446400,"2010-01-06 05:00:00","    18578829",-87.38462,34.28121,0.015,0.526,0,2010-01-06 05:00:00,2010,2010-01-06 05:00:00
"125",450000,"2010-01-06 06:00:00","    18578829",-87.38462,34.28121,0.015,0.517,0,2010-01-06 06:00:00,2010,2010-01-06 06:00:00
"126",453600,"2010-01-06 07:00:00","    18578829",-87.38462,34.28121,0.014,0.508,0,2010-01-06 07:00:00,2010,2010-01-06 07:00:00
"127",457200,"2010-01-06 08:00:00","    18578829",-87.38462,34.28121,0.014,0.499,0,2010-01-06 08:00:00,2010,2010-01-06 08:00:00
"128",460800,"2010-01-06 09:00:00","    18578829",-87.38462,34.28121,0.014,0.491,0,2010-01-06 09:00:00,2010,2010-01-06 09:00:00
"129",464400,"2010-01-06 10:00:00","    18578829",-87.38462,34.28121,0.014,0.483,0,2010-01-06 10:00:00,2010,2010-01-06 10:00:00
"130",468000,"2010-01-06 11:00:00","    18578829",-87.38462,34.28121,0.013,0.475,0,2010-01-06 11:00:00,2010,2010-01-06 11:00:00
"131",471600,"2010-01-06 12:00:00","    18578829",-87.38462,34.28121,0.013,0.468,0,2010-01-06 12:00:00,2010,2010-01-06 12:00:00
"132",475200,"2010-01-06 13:00:00","    18578829",-87.38462,34.28121,0.013,0.461,0,2010-01-06 13:00:00,2010,2010-01-06 13:00:00
"133",478800,"2010-01-06 14:00:00","    18578829",-87.38462,34.28121,0.013,0.454,0,2010-01-06 14:00:00,2010,2010-01-06 14:00:00
