"me.delta","mae.delta","mse.delta","rmse.delta","pbias.delta","nse.delta","me.delta_conf","mae.delta_conf","mse.delta_conf","rmse.delta_conf","pbias.delta_conf","nse.delta_conf"
"Tb",0.00547399,0.01995698,0.03386475,0.03449023,0.00546537,0.03386475,0.00149075,0.00368592,0.00435635,0.00552942,0.00166401,0.00414167
"A1",0.50282002,0.42230867,0.4962848,0.50387261,0.50281131,0.4962848,0.01022597,0.00724002,0.01137322,0.01558884,0.01141501,0.01240961
"B1",0.08295966,0.30108712,0.20596573,0.19554678,0.08297281,0.20596573,0.01006425,0.01228198,0.01416466,0.01488188,0.00947068,0.01472396
"me.delta","mae.delta","mse.delta","rmse.delta","pbias.delta","nse.delta","me.delta_conf","mae.delta_conf","mse.delta_conf","rmse.delta_conf","pbias.delta_conf","nse.delta_conf"
"w",0.05688207,0.07486996,0.0686538,0.06663703,0.05726384,0.06768533,0.00387197,0.00399349,0.00475229,0.00390376,0.00366085,0.003195
"n_imperv",0.06638428,0.08984642,0.06963898,0.06874535,0.06736131,0.06961521,0.00406764,0.00453913,0.0055089,0.00314944,0.00433889,0.00219677
"n_perv",0.06299178,0.06033176,0.05847343,0.05903656,0.06141614,0.05890097,0.00284923,0.00388065,0.00309576,0.00291039,0.00421407,0.00468541
"s_imperv",0.05798736,0.05503603,0.0571212,0.0574144,0.05762623,0.05791566,0.00465809,0.00348307,0.00426233,0.00377961,0.00267403,0.00354774
"s_perv",0.05276953,0.05704036,0.05687617,0.05770265,0.05347048,0.05662491,0.00396469,0.00488923,0.00359373,0.00339436,0.00268215,0.00343368
"k_sat",0.06998625,0.06816951,0.06478917,0.06406933,0.0706289,0.06458059,0.00596308,0.00229421,0.00476047,0.0032698,0.00433161,0.00597163
"per_routed",0.24040707,0.09758672,0.0831127,0.08357582,0.23760169,0.08274671,0.00382463,0.00456418,0.00402471,0.00525197,0.00545243,0.00545487
"cmelt",0.0639375,0.06101435,0.06857172,0.06953817,0.06506388,0.06848511,0.00627843,0.0049366,0.00449705,0.00419902,0.00278056,0.00326249
"Tb",0.05597859,0.07160618,0.07996019,0.07762891,0.05676743,0.07841592,0.00440514,0.00500216,0.00318913,0.00574782,0.006087,0.00457267
"A1",0.29289595,0.35837356,0.40453244,0.40579564,0.29388964,0.40624273,0.0064028,0.00670414,0.00387733,0.00360018,0.00445602,0.00737714
"B1",0.16150963,0.25771727,0.24207854,0.24213388,0.16087131,0.24267881,0.00496779,0.00591426,0.00578761,0.00341242,0.00511315,0.00373687
"me.S1","mae.S1","mse.S1","rmse.S1","pbias.S1","nse.S1","me.S1_conf","mae.S1_conf","mse.S1_conf","rmse.S1_conf","pbias.S1_conf","nse.S1_conf"
"w",0.00268522,0.00799519,0.00470259,0.00448766,0.00268866,0.00470259,0.00148992,0.00376208,0.00170344,0.002025,0.00184779,0.00136823
"n_imperv",0.00658942,0.02402908,0.00751576,0.00744492,0.00658528,0.00751576,0.00185203,0.00614914,0.00258306,0.00302485,0.00357385,0.00242424
"n_perv",0.0042154,0.00454117,0.00616449,0.00613477,0.00421264,0.00616449,0.00222309,0.00198598,0.00113316,0.00281636,0.00314833,0.00143632
"s_imperv",0.00514836,0.00360399,0.00402356,0.00404076,0.00514446,0.00402356,0.00141037,0.00200127,0.00123902,0.00217249,0.00242509,0.00185516
"s_perv",0.0032335,0.0026694,0.00294764,0.00300521,0.00323595,0.00294764,0.00207989,0.00249666,0.00165708,0.00186778,0.0017964,0.0026896
"k_sat",0.04728377,0.02851055,0.02318208,0.02220477,0.04727282,0.02318208,0.0062538,0.00354417,0.00414081,0.00455152,0.00406678,0.00351673
"per_routed",0.27036188,0.05026832,0.02616933,0.0256604,0.27036968,0.02616933,0.01124061,0.0043033,0.00282604,0.00321624,0.01230197,0.00383812
"cmelt",0.00940235,0.01524009,0.03137708,0.03506967,0.00940858,0.03137708,0.00243566,0.00385683,0.00622972,0.00673991,0.00266062,0.0061673
"Tb",0.00547399,0.01995698,0.03386475,0.03449023,0.00546537,0.03386475,0.00149075,0.00368592,0.00435635,0.00552942,0.00166401,0.00414167
"A1",0.50282002,0.42230867,0.4962848,0.50387261,0.50281131,0.4962848,0.01022597,0.00724002,0.01137322,0.01558884,0.01141501,0.01240961
"B1",0.08295966,0.30108712,0.20596573,0.19554678,0.08297281,0.20596573,0.01006425,0.01228198,0.01416466,0.01488188,0.00947068,0.01472396
"me.delta","mae.delta","mse.delta","rmse.delta","pbias.delta","nse.delta","me.delta_conf","mae.delta_conf","mse.delta_conf","rmse.delta_conf","pbias.delta_conf","nse.delta_conf"
"w",0.05688207,0.07486996,0.0686538,0.06663703,0.05726384,0.06768533,0.00387197,0.00399349,0.00475229,0.00390376,0.00366085,0.003195
"n_imperv",0.06638428,0.08984642,0.06963898,0.06874535,0.06736131,0.06961521,0.00406764,0.00453913,0.0055089,0.00314944,0.00433889,0.00219677
"n_perv",0.06299178,0.06033176,0.05847343,0.05903656,0.06141614,0.05890097,0.00284923,0.00388065,0.00309576,0.00291039,0.00421407,0.00468541
"s_imperv",0.05798736,0.05503603,0.0571212,0.0574144,0.05762623,0.05791566,0.00465809,0.00348307,0.00426233,0.00377961,0.00267403,0.00354774
"s_perv",0.05276953,0.05704036,0.05687617,0.05770265,0.05347048,0.05662491,0.00396469,0.00488923,0.00359373,0.00339436,0.00268215,0.00343368
"k_sat",0.06998625,0.06816951,0.06478917,0.06406933,0.0706289,0.06458059,0.00596308,0.00229421,0.00476047,0.0032698,0.00433161,0.00597163
"per_routed",0.24040707,0.09758672,0.0831127,0.08357582,0.23760169,0.08274671,0.00382463,0.00456418,0.00402471,0.00525197,0.00545243,0.00545487
"cmelt",0.0639375,0.06101435,0.06857172,0.06953817,0.06506388,0.06848511,0.00627843,0.0049366,0.00449705,0.00419902,0.00278056,0.00326249
"Tb",0.05597859,0.07160618,0.07996019,0.07762891,0.05676743,0.07841592,0.00440514,0.00500216,0.00318913,0.00574782,0.006087,0.00457267
"A1",0.29289595,0.35837356,0.40453244,0.40579564,0.29388964,0.40624273,0.0064028,0.00670414,0.00387733,0.00360018,0.00445602,0.00737714
"B1",0.16150963,0.25771727,0.24207854,0.24213388,0.16087131,0.24267881,0.00496779,0.00591426,0.00578761,0.00341242,0.00511315,0.00373687
"me.S1","mae.S1","mse.S1","rmse.S1","pbias.S1","nse.S1","me.S1_conf","mae.S1_conf","mse.S1_conf","rmse.S1_conf","pbias.S1_conf","nse.S1_conf"
"w",0.00268522,0.00799519,0.00470259,0.00448766,0.00268866,0.00470259,0.00148992,0.00376208,0.00170344,0.002025,0.00184779,0.00136823
"n_imperv",0.00658942,0.02402908,0.00751576,0.00744492,0.00658528,0.00751576,0.00185203,0.00614914,0.00258306,0.00302485,0.00357385,0.00242424
"n_perv",0.0042154,0.00454117,0.00616449,0.00613477,0.00421264,0.00616449,0.00222309,0.00198598,0.00113316,0.00281636,0.00314833,0.00143632
"s_imperv",0.00514836,0.00360399,0.00402356,0.00404076,0.00514446,0.00402356,0.00141037,0.00200127,0.00123902,0.00217249,0.00242509,0.00185516
"s_perv",0.0032335,0.0026694,0.00294764,0.00300521,0.00323595,0.00294764,0.00207989,0.00249666,0.00165708,0.00186778,0.0017964,0.0026896
"k_sat",0.04728377,0.02851055,0.02318208,0.02220477,0.04727282,0.02318208,0.0062538,0.00354417,0.00414081,0.00455152,0.00406678,0.00351673
